296.58,296.58,5830.19
296.65,296.65,5830.19
350.77,424.77,5848.13
374.77,424.77,5902.76
374.77,424.77,5951.98
374.77,424.77,6014.0
374.77,424.77,6076.5
374.77,424.77,6116.12
374.77,424.77,6171.74
374.77,424.77,6240.64
374.77,424.77,6308.07
374.77,424.77,6362.21
374.77,424.77,6423.74
374.77,424.77,6488.68
374.77,424.77,6553.65
398.77,424.77,6580.72
350.74,1046.77,6603.58
350.74,1046.77,6627.7
350.74,1046.77,6650.02
350.74,1046.77,6675.11
350.74,1046.77,6699.05
377.0,1046.77,6699.05
1205.13,1229.13,6699.3
452.04,1376.07,6699.3
404.04,1376.07,6699.05
1232.16,1376.07,6699.05
479.58,1403.11,6699.05
431.58,1403.11,6699.05
1259.7,1403.11,6699.05
506.62,1430.65,6699.05
458.62,1430.65,6699.05
1286.74,1430.65,6699.55
533.65,1457.69,6699.55
485.65,1457.69,6699.55
1314.53,1457.69,6699.55
560.69,1484.73,6699.3
512.69,1484.73,6699.3
1340.82,1484.73,6699.3
587.73,1511.76,6699.54
1066.24,1511.76,6699.54
1066.24,1511.76,6699.54
1120.33,1816.36,6723.63
1120.33,1816.36,6747.75
1120.33,1816.36,6771.87
1120.33,1816.36,6795.98
1120.33,1816.36,6820.1
1144.33,1816.36,6820.1
1972.46,1996.46,6820.1
1192.33,2143.4,6820.1
1144.33,2143.4,6820.1
